start,end,speaker_id,duration
0.993,30.204,SPEAKER_01,29.211000000000002
32.414,42.708,SPEAKER_00,10.293999999999997
41.645,44.024,SPEAKER_01,2.378999999999998
45.813,67.10900000000001,SPEAKER_00,21.296000000000006
67.227,82.786,SPEAKER_01,15.558999999999997
84.659,102.564,SPEAKER_00,17.904999999999987
103.492,117.532,SPEAKER_01,14.039999999999992
119.759,138.67600000000002,SPEAKER_00,18.917000000000016
139.351,168.96699999999998,SPEAKER_01,29.615999999999985
170.907,192.321,SPEAKER_00,21.413999999999987
192.322,193.689,SPEAKER_01,1.3669999999999902
192.76,193.503,SPEAKER_00,0.742999999999995
193.823,216.571,SPEAKER_01,22.74799999999999
218.579,238.12,SPEAKER_00,19.540999999999997
238.12,238.677,SPEAKER_01,0.556999999999988
238.188,239.35199999999998,SPEAKER_00,1.1639999999999873
239.858,240.651,SPEAKER_01,0.7930000000000064
240.297,241.006,SPEAKER_00,0.7090000000000032
241.04,251.334,SPEAKER_01,10.294000000000011
253.696,271.55,SPEAKER_00,17.854000000000013
272.14,304.557,SPEAKER_01,32.41700000000003
306.97,326.02200000000005,SPEAKER_00,19.05200000000002
326.36,335.472,SPEAKER_01,9.111999999999966
337.548,355.925,SPEAKER_00,18.37700000000001
356.245,363.974,SPEAKER_01,7.728999999999985
365.982,381.423,SPEAKER_00,15.440999999999974
382.165,383.73400000000004,SPEAKER_01,1.5690000000000168
385.726,397.184,SPEAKER_00,11.458000000000027
397.623,399.108,SPEAKER_01,1.4850000000000136
401.437,406.601,SPEAKER_00,5.163999999999987
407.326,408.338,SPEAKER_01,1.0120000000000005
410.093,417.451,SPEAKER_00,7.358000000000004
417.755,421.231,SPEAKER_01,3.475999999999999
423.644,429.348,SPEAKER_00,5.704000000000008
