start|end|text
0.0|6.3| 안녕하세요. 이 강의는 GPT-API로 챗봇 만들기 라는 내용을 다루는 강의입니다.
7.18|10.0| GPT-API에 대해서 생소하신 분들도 있을텐데
11.0|17.0| 우리가 잘 알고 있는 ChatGPT, ChatGPT 기능을 이용해서
17.0|20.0| 우리가 원하는 프로그램을 어떻게 만드는지에 대해서
20.0|22.0| 이야기할 거예요.
22.0|24.0| 그래서 이런 강의들이 사실 많이 있습니다.
24.0|27.48| 그래서 여러가지들이 있는데 이 강의 특징이라고 한다면
27.48|29.58| GPT로 명확한 미션을 달성하는
29.58|31.66| 챕터 프로그램을 만드는게 사실
31.66|34.32| 쉽지는 않은데 이걸 어떻게 해서
34.32|36.4| 구현을 하는지 그리고 그게 왜 필요한지에 대해서
36.4|37.34| 좀 이야기를 할 거고요.
38.0|40.0| 그 예제로
40.0|42.0| 예제는 여러가지가 될 수 있는데
42.0|45.66| 예제로 하는 것은 음악 플레이리스트 동영상을 자동으로 대화를 통해서
45.66|47.1| 생성하는 프로그램을 만드는 것을
47.1|48.46| 다루려고 합니다.
49.84|51.96| 프로그램이 실행되는 모습을 한번 보여드릴게요.
52.84|58.0| 우리가 만들 프로그램은 이런 식으로 이제 나타나게 되고
